31	0.49656096 0.07996596 -0.3391505 0.065620065 -0.30845484 0.5505084 0.25131363 0.71801937 0.29395014 0.1416914 0.14277066 0.024057703 0.4710503 -0.5082666 -0.37322873 0.3577925 -0.086331874 -0.14383525 -0.15097263 0.44900328 -0.41649532 0.24257517 -0.55901855 -0.40634182 -0.15558346 -0.23909938 -0.2596108 -0.6087834 -0.26214337 0.07625616 0.37512767 0.2528028 -0.3498014 -0.3579151 -0.47656778 0.23848109 0.10366039 -0.3127918 0.43884325 0.097494036 0.10860182 0.48020738 0.2349021 -0.5156852 -0.4693208 -0.39178008 -0.032218955 0.11748059 0.5130404 0.33773896 0.31815067 0.18128845 -0.03726725 -0.3644659 0.21465409 -0.35345364 -0.42478204 0.15602599 0.42316994 0.09211622 -0.2219741 0.25035393 0.23297027 -0.15298691
39	0.5716667 -0.2110458 -0.045427185 0.3402105 0.056312993 0.3435056 0.5855138 -0.7697019 -0.2704174 -0.39530787 0.32267195 -0.21597542 0.639124 -0.5281325 -0.022534382 0.059984535 -0.54913855 0.06845182 -0.5097542 0.1629155 0.22676453 0.31074968 -0.17999732 -0.6339376 -0.105609745 -0.49205205 -0.15476766 -0.4572973 -0.47375393 0.340675 0.45904243 0.40762016 0.2409649 -0.45224723 -0.2614755 0.21963798 -0.10624142 -0.4193619 0.43722418 0.23640119 -0.08125163 0.25906447 -0.27452767 -0.4562068 0.3254154 -0.6608409 0.07859544 -0.032304693 0.022848887 0.67764294 0.07286909 0.35922694 0.09185283 -0.44506377 -0.4463089 -0.28345874 -0.06428474 0.40097627 0.072219945 0.030991755 -0.040308766 0.645123 0.06232167 -0.40439603
163	-0.024769299 -0.32606792 -0.46874726 0.24851857 -0.2766075 0.39320555 0.015681349 -0.04040438 0.26648962 -0.6566163 0.36101377 -0.5030634 0.25994524 -0.15323035 -0.4244163 -0.18195358 0.14579388 -0.012296369 -0.22851612 0.49393886 -0.5776564 0.19139525 -0.2839351 0.027121376 -0.42653424 -0.38412836 0.29955828 -0.13227652 0.12290798 -0.46460238 0.40934858 0.040292777 -0.14964631 -0.72050935 0.86280715 0.4428722 -0.28222567 0.42293185 -0.42613822 0.03235653 0.07512017 0.24564037 -0.046838522 -0.31542438 0.1964547 0.6378951 0.25642976 0.14760955 0.4516532 0.22068143 -0.19793823 0.02196334 -0.40008348 0.33062536 0.6627465 -0.5930105 -0.4298449 0.8654327 0.3243853 0.04040373 -0.041065864 0.05238085 0.64202905 -0.17952876
226	0.67331934 0.11643008 -0.41299957 0.25672144 -0.42514282 0.8366603 0.40901166 -0.14348239 0.3024667 0.07489903 0.018489182 -0.23341691 0.5424036 -0.62573475 -0.27248263 0.35290366 -0.15278964 -0.49824578 -0.14672318 0.13515136 -0.15562123 0.13682838 -0.6463649 -0.35331312 -0.20677575 -0.2946677 0.41949922 -0.48792568 -0.44611073 0.33004877 0.41384462 0.50568694 -0.28107816 -0.2193681 -0.65105766 0.18805979 0.08857835 0.13017136 0.19399473 -0.22950092 -0.04884155 0.53716034 -0.3306965 -0.5913119 -0.21215796 -0.19664682 -0.22602484 0.4749946 0.21518308 0.34792513 0.20036 0.17160577 -0.104928665 -0.28895646 0.16505302 -0.23646593 -0.55994636 0.59165686 0.41651365 -0.3808678 0.25419438 0.51724553 -0.04254561 -0.5257383
169	-0.08634627 -0.49393123 -0.35440165 0.55346596 -0.23813736 0.28744283 0.46677712 0.113462016 -0.018266968 -0.67589915 0.036024265 0.38095957 0.4603368 -0.11877855 -0.3481884 0.37025017 -0.35387033 -0.44684455 -0.47778443 0.19093665 -0.29726595 -0.08531507 -0.36948144 -0.29359487 -0.4774738 -0.21247661 -0.052158147 0.054557413 -0.2247574 0.20340803 -0.032894984 0.54821604 -0.6695619 -0.5181407 0.93401766 0.055948604 -0.10582015 -0.37784272 0.16080871 -0.097120166 0.55910945 0.23088065 -0.20994511 -0.33440506 -0.2153102 -0.31604335 0.37072554 -0.64207643 -0.15562761 0.048180643 0.34091344 0.2332135 -0.58327657 -0.024382476 0.39565527 -0.29993343 -0.28925157 0.55548555 0.24550588 0.072682366 -0.06790691 -0.11197035 -0.054139033 0.40713862
38	0.60850316 -0.15643826 -0.22919624 0.50888366 -0.18781282 0.606782 0.13979071 0.047075476 0.15239608 0.12098931 0.05229655 -0.107639536 0.34328905 -0.69870704 -0.16123012 0.2655604 0.27747676 -0.4556085 0.22974215 0.3802642 0.26649272 0.33337867 -0.57559866 -0.1823765 0.023800842 -0.13799858 0.42741695 -0.5047339 -0.31266135 0.48598358 0.43013325 0.28578216 -0.56998193 -0.4029197 -0.63100624 -0.08959895 -0.26426426 0.12346022 0.24553734 0.10008077 0.13107698 0.3810735 -0.35868844 -0.5075522 -0.588617 0.25147453 0.19086638 0.19483407 0.23506983 0.17720327 0.043982353 0.14932242 0.4609753 -0.3830945 0.21878855 -0.19850606 -0.42853424 0.3677087 0.23667751 -0.014929254 -0.10012226 -0.11685045 0.43224135 -0.16323158
238	0.13940698 -0.3869254 -0.51676196 0.24246845 -0.2880224 0.7027475 0.20352638 -0.61717725 0.32033005 -0.1759834 0.18152286 -0.1576502 0.3780133 -0.5456119 -0.5886098 0.5831934 -0.51510954 -0.046339884 0.054586247 0.016847618 -0.22877528 0.10893532 -0.6811079 -0.43223122 -0.18980631 -0.3219209 -0.8059107 -0.321593 0.113830626 0.25689298 0.33723757 0.2584105 -0.57571316 -0.29686072 0.26938856 -0.0017328039 -0.23026109 -0.16735129 -0.06359677 0.12370978 0.2013937 0.5590807 0.11779702 -0.7182021 -0.3144756 0.20001072 0.40320015 -0.6374539 0.31611022 0.09094346 0.19053745 0.9619992 -0.10241979 -0.29783446 0.6218506 -0.13115871 -0.72952527 0.03078556 0.61451876 0.33649933 -0.26155013 0.45851722 0.68545806 -0.24626541
225	0.061434276 0.1227684 -0.44080672 0.6581167 -0.38751388 -0.32709202 0.11897592 0.55351937 0.16142055 0.21730235 0.43808392 0.614254 -0.2134942 -0.52650553 -0.36300486 -0.17631362 0.33099052 -0.2593344 -0.14412001 0.4082761 0.06656005 0.22979492 -0.45484212 0.4471664 -0.47748202 -0.2303712 0.07144204 -0.4537295 -0.46941766 0.68583006 0.5689948 -0.011985861 -0.44443768 0.02165141 0.5525081 0.11582187 -0.57014585 0.09794475 0.13509375 0.28845125 0.153749 0.59250104 0.41363603 -0.35979787 -0.3513075 0.18354307 0.69344527 0.3030209 0.6064732 -0.008985646 0.40025756 -0.1667797 -0.2894391 0.17380445 0.115081035 -0.17600645 -0.5780391 -0.14125198 0.3292109 0.2744338 -0.07115385 -0.1048118 -0.06011519 0.70865977
141	0.05002582 0.0034196991 -0.44510108 0.23244518 -0.20016387 0.79040813 0.3302885 -0.07384246 0.34579346 -0.09990767 0.24434972 -0.37105995 0.24560548 -0.27343857 -0.41017154 -0.008213647 0.044495128 -0.0506816 -0.095549986 0.33475724 -0.20884813 0.20840555 -0.5153261 -0.03019227 -0.38539052 0.01548861 0.29558533 -0.20874903 0.0073010437 -0.15120904 0.27497792 0.023826761 -0.10071363 -0.04532422 -0.047333576 0.1800189 -0.30310044 0.19683217 0.28368318 -0.064165786 -0.00926066 0.45011294 0.19603449 -0.518376 -0.24627432 -0.22217388 0.01935292 0.14177163 0.2039438 0.057194985 0.15430859 0.045970388 0.013300415 -0.021666834 0.13617542 -0.2823765 -0.45034927 -0.2817883 0.37823218 0.14800242 0.3462087 0.052253522 -0.052090608 -0.34192786
217	0.23144889 -0.36323762 -0.29505363 0.42855173 -0.14550409 0.63143027 0.73777044 -0.37897673 0.16869746 -0.2523168 0.18792677 -0.3975407 0.14924476 -0.56154937 -0.2446036 0.49888617 -0.09426367 -0.03846136 -0.4575595 -0.010053441 0.04919153 0.08457323 -0.47901928 -0.08857888 -0.13089943 -0.052442145 0.51817447 -0.17009409 -0.44036764 0.25089204 0.5868905 0.29658037 -0.3647241 -0.25063977 -0.12174942 -0.05484675 0.049732402 0.0731068 -0.1358451 0.17397907 0.28642797 0.5213207 -0.35199463 -0.48008543 -0.017057255 -0.33327484 0.025271386 0.002088651 0.19314644 0.4051595 0.3577044 0.29883516 -0.61341596 0.12438922 -0.43037495 0.025711786 -0.376705 0.21137634 0.33048752 0.11071278 0.273965 0.6394991 0.32163864 -0.35915652
